datetime_utc,open,high,low,close,volume
2026-03-23 19:58:00+00:00,70698.33,70706.61,70649.4,70676.47,30.01218
2026-03-23 19:59:00+00:00,70676.48,70722.46,70676.47,70679.05,22.64438
2026-03-23 20:00:00+00:00,70679.04,70730.24,70617.6,70617.6,24.9733
2026-03-23 20:01:00+00:00,70617.6,70633.38,70587.55,70597.03,9.90897
2026-03-23 20:02:00+00:00,70597.04,70628.52,70591.31,70591.31,6.69366
2026-03-23 20:03:00+00:00,70591.31,70660.0,70559.03,70660.0,17.26829
2026-03-23 20:04:00+00:00,70660.0,70668.0,70634.86,70645.31,1.73383
2026-03-23 20:05:00+00:00,70645.31,70671.36,70617.44,70617.44,4.97354
2026-03-23 20:06:00+00:00,70617.44,70662.0,70617.44,70625.57,6.85616
2026-03-23 20:07:00+00:00,70625.57,70635.46,70610.49,70610.5,7.12528
2026-03-23 20:08:00+00:00,70610.5,70631.99,70610.49,70618.42,5.01465
2026-03-23 20:09:00+00:00,70618.42,70669.3,70618.42,70669.29,7.03717
2026-03-23 20:10:00+00:00,70669.3,70714.0,70669.3,70714.0,11.45839
2026-03-23 20:11:00+00:00,70714.0,70761.26,70713.05,70741.99,22.50903
2026-03-23 20:12:00+00:00,70741.99,70770.99,70741.99,70770.99,10.22069
2026-03-23 20:13:00+00:00,70770.99,70774.91,70741.52,70764.45,6.9435
2026-03-23 20:14:00+00:00,70764.46,70798.43,70764.46,70795.16,10.43032
2026-03-23 20:15:00+00:00,70795.17,70830.25,70795.17,70818.36,9.48562
2026-03-23 20:16:00+00:00,70818.37,70826.74,70776.31,70776.34,5.72055
2026-03-23 20:17:00+00:00,70776.34,70776.35,70756.62,70756.63,5.20777
2026-03-23 20:18:00+00:00,70756.62,70770.5,70753.39,70770.5,8.76181
2026-03-23 20:19:00+00:00,70770.5,70770.5,70746.06,70746.06,8.50586
2026-03-23 20:20:00+00:00,70746.06,70756.51,70746.06,70751.55,3.54327
2026-03-23 20:21:00+00:00,70751.54,70766.21,70751.54,70766.2,4.35375
2026-03-23 20:22:00+00:00,70766.2,70778.18,70748.33,70778.18,2.63254
2026-03-23 20:23:00+00:00,70778.39,70821.25,70778.39,70800.17,13.45848
2026-03-23 20:24:00+00:00,70800.17,70800.18,70784.14,70784.14,3.94532
2026-03-23 20:25:00+00:00,70784.14,70784.15,70759.1,70759.11,4.18597
2026-03-23 20:26:00+00:00,70759.11,70780.8,70759.1,70769.76,3.43352
2026-03-23 20:27:00+00:00,70769.75,70784.14,70769.75,70776.4,7.48806
2026-03-23 20:28:00+00:00,70776.4,70800.19,70776.39,70795.75,2.88838
2026-03-23 20:29:00+00:00,70795.75,70811.17,70795.75,70811.17,2.46695
2026-03-23 20:30:00+00:00,70811.17,70818.42,70811.16,70811.67,3.5071
2026-03-23 20:31:00+00:00,70811.66,70824.0,70794.56,70817.71,4.31797
2026-03-23 20:32:00+00:00,70817.72,70847.82,70798.72,70847.81,5.39134
2026-03-23 20:33:00+00:00,70847.81,70847.81,70822.43,70840.9,6.05563
2026-03-23 20:34:00+00:00,70840.91,70895.02,70829.6,70878.05,5.30263
2026-03-23 20:35:00+00:00,70878.05,70909.61,70878.05,70904.95,5.41027
2026-03-23 20:36:00+00:00,70904.96,70969.5,70904.96,70968.61,8.57254
2026-03-23 20:37:00+00:00,70968.6,70983.33,70948.6,70952.38,5.85663
2026-03-23 20:38:00+00:00,70952.38,70952.39,70900.96,70900.96,6.35201
2026-03-23 20:39:00+00:00,70900.96,70922.72,70900.96,70920.62,7.28641
2026-03-23 20:40:00+00:00,70920.62,70920.63,70915.99,70916.0,3.61181
2026-03-23 20:41:00+00:00,70916.0,70918.15,70898.56,70898.57,5.50322
2026-03-23 20:42:00+00:00,70898.56,70920.63,70893.06,70915.66,5.88811
2026-03-23 20:43:00+00:00,70915.66,70922.73,70915.65,70922.72,2.66084
2026-03-23 20:44:00+00:00,70922.72,70958.06,70922.72,70949.28,4.3767
2026-03-23 20:45:00+00:00,70949.28,70958.01,70930.22,70938.76,3.59693
2026-03-23 20:46:00+00:00,70938.75,70938.76,70919.04,70919.04,6.57788
2026-03-23 20:47:00+00:00,70919.05,70926.98,70912.39,70926.98,8.29807
2026-03-23 20:48:00+00:00,70926.98,70945.86,70926.98,70937.27,4.4071
2026-03-23 20:49:00+00:00,70937.26,70937.26,70899.63,70899.63,4.91775
2026-03-23 20:50:00+00:00,70899.63,70899.63,70880.91,70880.91,2.45379
2026-03-23 20:51:00+00:00,70880.91,70923.29,70874.02,70923.29,4.17329
2026-03-23 20:52:00+00:00,70923.29,70923.29,70917.72,70917.72,8.04411
2026-03-23 20:53:00+00:00,70917.72,70925.6,70915.33,70915.34,6.0294
2026-03-23 20:54:00+00:00,70915.33,70936.76,70915.33,70933.41,3.63345
2026-03-23 20:55:00+00:00,70933.41,70933.42,70925.1,70925.94,4.6759
2026-03-23 20:56:00+00:00,70925.94,70931.26,70908.08,70908.09,4.32974
2026-03-23 20:57:00+00:00,70908.08,70915.61,70900.24,70915.61,4.56797
2026-03-23 20:58:00+00:00,70915.6,70928.29,70915.6,70927.04,6.34711
2026-03-23 20:59:00+00:00,70927.04,70927.04,70902.52,70915.59,2.67476
2026-03-23 21:00:00+00:00,70915.59,70968.71,70915.59,70960.0,12.37334
2026-03-23 21:01:00+00:00,70960.0,70987.24,70944.46,70945.16,4.97851
2026-03-23 21:02:00+00:00,70945.16,70945.17,70933.47,70933.48,3.24712
2026-03-23 21:03:00+00:00,70933.48,70941.37,70923.6,70941.37,3.48371
2026-03-23 21:04:00+00:00,70941.36,70941.37,70865.84,70865.84,4.83627
2026-03-23 21:05:00+00:00,70865.84,70891.09,70865.84,70891.08,4.6137
2026-03-23 21:06:00+00:00,70891.09,70909.56,70891.08,70909.56,2.77122
2026-03-23 21:07:00+00:00,70909.55,70924.0,70909.55,70915.23,3.86701
2026-03-23 21:08:00+00:00,70915.23,70916.93,70904.94,70906.01,4.00738
2026-03-23 21:09:00+00:00,70906.01,70906.01,70880.0,70880.0,3.58485
2026-03-23 21:10:00+00:00,70880.0,70880.01,70859.0,70865.68,4.64131
2026-03-23 21:11:00+00:00,70865.68,70885.25,70865.67,70884.13,3.72001
2026-03-23 21:12:00+00:00,70884.13,70884.13,70869.04,70869.04,0.85761
