datetime_utc,open,high,low,close,volume
2026-03-25 18:29:00+00:00,4555.32,4556.0,4554.98,4554.98,4.6774
2026-03-25 18:30:00+00:00,4554.82,4557.19,4554.82,4557.18,4.3741
2026-03-25 18:31:00+00:00,4557.02,4557.87,4557.02,4557.87,0.6324
2026-03-25 18:32:00+00:00,4558.04,4560.0,4558.04,4559.57,7.7224
2026-03-25 18:33:00+00:00,4559.48,4560.98,4559.48,4560.89,8.651
2026-03-25 18:34:00+00:00,4560.89,4560.89,4560.25,4560.4,4.6517
2026-03-25 18:35:00+00:00,4560.4,4560.4,4558.39,4558.39,0.4891
2026-03-25 18:36:00+00:00,4558.38,4558.39,4557.88,4557.88,0.3634
2026-03-25 18:37:00+00:00,4557.87,4557.87,4556.35,4556.35,0.3858
2026-03-25 18:38:00+00:00,4556.34,4556.34,4554.13,4554.81,1.0223
2026-03-25 18:39:00+00:00,4554.81,4554.81,4553.8,4553.86,0.1575
2026-03-25 18:40:00+00:00,4553.87,4554.12,4551.38,4551.39,1.4921
2026-03-25 18:41:00+00:00,4551.39,4552.14,4551.39,4551.51,8.8708
2026-03-25 18:42:00+00:00,4551.5,4553.44,4551.5,4552.6,1.8511
2026-03-25 18:43:00+00:00,4552.43,4552.43,4551.58,4552.27,0.9671
2026-03-25 18:44:00+00:00,4552.06,4552.27,4552.06,4552.27,2.0379
2026-03-25 18:45:00+00:00,4552.27,4552.27,4549.18,4549.18,8.423
2026-03-25 18:46:00+00:00,4549.19,4552.59,4549.19,4551.92,12.0109
2026-03-25 18:47:00+00:00,4551.76,4552.67,4551.76,4552.67,2.4568
2026-03-25 18:48:00+00:00,4552.65,4552.93,4552.27,4552.77,2.7621
2026-03-25 18:49:00+00:00,4552.76,4552.76,4548.26,4548.26,2.2298
2026-03-25 18:50:00+00:00,4548.26,4549.71,4545.0,4545.01,36.9791
2026-03-25 18:51:00+00:00,4545.31,4548.42,4545.0,4545.01,5.1089
2026-03-25 18:52:00+00:00,4545.01,4546.31,4544.07,4546.31,35.9548
2026-03-25 18:53:00+00:00,4546.3,4546.48,4545.63,4545.63,0.3946
2026-03-25 18:54:00+00:00,4545.47,4546.75,4545.47,4546.38,9.6902
2026-03-25 18:55:00+00:00,4546.31,4546.31,4537.53,4537.98,22.4832
2026-03-25 18:56:00+00:00,4537.53,4539.47,4536.73,4538.32,24.9156
2026-03-25 18:57:00+00:00,4538.33,4541.74,4538.33,4540.36,10.4685
2026-03-25 18:58:00+00:00,4540.5,4543.91,4540.45,4542.92,7.6778
2026-03-25 18:59:00+00:00,4543.2,4543.58,4541.47,4541.73,6.95
2026-03-25 19:00:00+00:00,4542.03,4542.91,4539.39,4540.7,13.1898
2026-03-25 19:01:00+00:00,4540.71,4541.95,4537.77,4539.51,2.3087
2026-03-25 19:02:00+00:00,4539.17,4539.17,4535.66,4535.88,5.6859
2026-03-25 19:03:00+00:00,4535.89,4538.1,4535.03,4535.03,4.3302
2026-03-25 19:04:00+00:00,4535.02,4538.04,4535.02,4537.98,1.8092
2026-03-25 19:05:00+00:00,4538.1,4540.03,4538.1,4539.34,3.3145
2026-03-25 19:06:00+00:00,4539.18,4539.18,4535.0,4535.59,10.5031
2026-03-25 19:07:00+00:00,4535.43,4536.05,4534.58,4535.1,3.2694
2026-03-25 19:08:00+00:00,4535.09,4535.09,4520.26,4521.22,23.6067
2026-03-25 19:09:00+00:00,4521.43,4521.43,4510.0,4510.0,77.4836
2026-03-25 19:10:00+00:00,4510.01,4511.96,4503.87,4504.84,99.1086
2026-03-25 19:11:00+00:00,4504.88,4507.44,4495.01,4496.37,112.8093
2026-03-25 19:12:00+00:00,4496.36,4506.65,4494.35,4505.2,49.2265
2026-03-25 19:13:00+00:00,4505.18,4513.94,4503.82,4513.94,16.099
2026-03-25 19:14:00+00:00,4513.73,4515.44,4511.83,4514.69,36.8823
2026-03-25 19:15:00+00:00,4514.85,4517.92,4514.2,4517.92,5.0415
2026-03-25 19:16:00+00:00,4517.92,4521.39,4517.91,4519.14,12.3471
2026-03-25 19:17:00+00:00,4518.95,4518.95,4510.24,4511.27,4.6527
2026-03-25 19:18:00+00:00,4511.26,4512.98,4507.9,4509.76,8.75
2026-03-25 19:19:00+00:00,4509.93,4515.37,4509.25,4515.2,3.2745
2026-03-25 19:20:00+00:00,4514.86,4518.51,4514.36,4516.89,8.5832
2026-03-25 19:21:00+00:00,4516.56,4516.56,4513.51,4513.68,1.79
2026-03-25 19:22:00+00:00,4513.67,4514.86,4511.14,4514.86,3.6836
2026-03-25 19:23:00+00:00,4514.65,4518.7,4514.65,4518.7,1.547
2026-03-25 19:24:00+00:00,4518.74,4519.11,4517.85,4518.6,0.6934
2026-03-25 19:25:00+00:00,4519.35,4522.82,4519.35,4519.97,18.2253
2026-03-25 19:26:00+00:00,4519.96,4519.96,4516.74,4518.01,4.7517
2026-03-25 19:27:00+00:00,4517.72,4522.49,4516.87,4518.94,59.6737
2026-03-25 19:28:00+00:00,4518.77,4519.95,4518.41,4519.1,3.3089
2026-03-25 19:29:00+00:00,4518.61,4520.01,4517.08,4518.77,10.5933
2026-03-25 19:30:00+00:00,4518.61,4522.68,4518.61,4522.68,7.5967
2026-03-25 19:31:00+00:00,4523.06,4523.06,4518.95,4519.62,6.4137
2026-03-25 19:32:00+00:00,4519.62,4520.46,4518.1,4518.6,15.7484
2026-03-25 19:33:00+00:00,4518.59,4519.79,4517.93,4518.5,0.6839
2026-03-25 19:34:00+00:00,4518.5,4521.32,4518.5,4521.32,2.6427
2026-03-25 19:35:00+00:00,4521.48,4522.24,4519.29,4519.76,11.2988
2026-03-25 19:36:00+00:00,4519.56,4520.13,4517.41,4518.1,6.8491
2026-03-25 19:37:00+00:00,4518.09,4518.09,4511.98,4511.98,11.1778
2026-03-25 19:38:00+00:00,4511.98,4515.02,4511.98,4514.18,1.4734
2026-03-25 19:39:00+00:00,4514.46,4517.24,4514.46,4517.24,0.7909
2026-03-25 19:40:00+00:00,4517.2,4522.51,4516.56,4522.51,1.7942
2026-03-25 19:41:00+00:00,4522.67,4525.91,4522.67,4525.91,4.1112
2026-03-25 19:42:00+00:00,4525.91,4529.09,4525.91,4529.09,9.3559
2026-03-25 19:43:00+00:00,4529.09,4530.11,4527.25,4528.29,5.7923
2026-03-25 19:44:00+00:00,4528.28,4528.28,4526.08,4526.08,1.418
2026-03-25 19:45:00+00:00,4526.04,4527.1,4524.73,4527.1,1.1167
2026-03-25 19:46:00+00:00,4527.09,4527.09,4524.39,4526.79,3.1442
2026-03-25 19:47:00+00:00,4526.79,4527.08,4526.26,4527.06,2.0021
2026-03-25 19:48:00+00:00,4526.6,4528.57,4524.05,4524.55,3.8613
2026-03-25 19:49:00+00:00,4524.21,4524.55,4519.01,4519.01,16.3734
2026-03-25 19:50:00+00:00,4519.31,4524.72,4519.31,4524.72,5.7281
2026-03-25 19:51:00+00:00,4524.88,4524.88,4521.15,4521.15,1.5949
2026-03-25 19:52:00+00:00,4522.09,4523.01,4521.67,4522.34,0.8408
2026-03-25 19:53:00+00:00,4522.51,4524.0,4522.51,4523.82,0.6995
2026-03-25 19:54:00+00:00,4523.81,4523.81,4522.35,4522.51,1.2329
2026-03-25 19:55:00+00:00,4522.51,4522.6,4521.65,4522.59,0.7991
2026-03-25 19:56:00+00:00,4522.68,4528.43,4522.68,4527.61,31.3149
2026-03-25 19:57:00+00:00,4527.65,4532.29,4527.65,4531.64,13.4174
2026-03-25 19:58:00+00:00,4531.64,4534.58,4531.64,4534.58,3.1282
2026-03-25 19:59:00+00:00,4534.65,4535.91,4532.88,4534.04,6.0679
2026-03-25 20:00:00+00:00,4534.2,4538.61,4533.57,4538.61,3.2822
2026-03-25 20:01:00+00:00,4538.66,4542.25,4537.13,4542.25,15.3971
2026-03-25 20:02:00+00:00,4542.39,4543.89,4541.89,4543.62,9.1054
2026-03-25 20:03:00+00:00,4543.25,4543.25,4539.51,4539.51,16.2718
2026-03-25 20:04:00+00:00,4539.34,4539.34,4537.64,4537.64,0.8426
2026-03-25 20:05:00+00:00,4537.48,4538.69,4537.48,4537.71,0.2613
2026-03-25 20:06:00+00:00,4537.7,4537.98,4536.8,4536.8,5.983
2026-03-25 20:07:00+00:00,4536.79,4537.29,4535.25,4537.29,6.2912
2026-03-25 20:08:00+00:00,4537.29,4537.29,4533.05,4533.59,0.9891
2026-03-25 20:09:00+00:00,4533.73,4533.73,4529.48,4529.48,7.4334
2026-03-25 20:10:00+00:00,4529.7,4531.43,4527.92,4527.92,6.5085
2026-03-25 20:11:00+00:00,4527.96,4529.99,4527.0,4529.99,1.0021
2026-03-25 20:12:00+00:00,4529.83,4531.18,4529.8,4530.84,3.4095
2026-03-25 20:13:00+00:00,4530.84,4531.51,4529.21,4529.81,0.8321
2026-03-25 20:14:00+00:00,4529.82,4531.18,4529.82,4531.18,0.6849
2026-03-25 20:15:00+00:00,4531.34,4532.71,4531.34,4532.7,0.3086
2026-03-25 20:16:00+00:00,4532.37,4535.77,4532.37,4535.77,4.4552
2026-03-25 20:17:00+00:00,4535.76,4535.76,4533.84,4534.74,12.0707
2026-03-25 20:18:00+00:00,4534.74,4534.74,4532.87,4532.88,1.83
2026-03-25 20:19:00+00:00,4532.88,4532.88,4531.53,4531.53,4.198
2026-03-25 20:20:00+00:00,4531.52,4531.52,4529.36,4529.6,0.3627
2026-03-25 20:21:00+00:00,4529.59,4529.59,4529.0,4529.0,1.0846
2026-03-25 20:22:00+00:00,4529.0,4529.0,4527.62,4528.63,5.9819
2026-03-25 20:23:00+00:00,4528.68,4528.69,4526.25,4526.25,9.6597
2026-03-25 20:24:00+00:00,4526.2,4526.45,4524.7,4525.2,4.7298
2026-03-25 20:25:00+00:00,4525.23,4526.8,4525.23,4526.25,9.8699
2026-03-25 20:26:00+00:00,4526.09,4527.27,4526.08,4527.26,2.5585
2026-03-25 20:27:00+00:00,4527.26,4527.26,4524.17,4525.61,2.3648
2026-03-25 20:28:00+00:00,4525.61,4526.38,4525.61,4526.38,1.2145
2026-03-25 20:29:00+00:00,4526.41,4526.58,4525.74,4525.74,5.5112
2026-03-25 20:30:00+00:00,4525.81,4526.75,4523.36,4523.36,10.2972
